timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T04:54:17.393701+00:00,-1,0,baseline,baseline,-1,Llama-3.1-8B-Instruct-multi-truth-judge,71.03,0.0,baseline,False
2026-07-13T04:55:12.896836+00:00,0,1,merge,mlp,17,Llama-3.1-8B-Instruct-multi-truth-judge,70.0,2.0,accepted,False
2026-07-13T04:56:32.131690+00:00,1,1,merge,mlp,19,Llama-3.1-8B-Instruct-multi-truth-judge,69.89,2.0,accepted,False
2026-07-13T04:57:12.072525+00:00,2,1,merge,mlp,21,Llama-3.1-8B-Instruct-multi-truth-judge,69.87,2.0,accepted,False
2026-07-13T04:57:51.283230+00:00,3,1,merge,mlp,23,Llama-3.1-8B-Instruct-multi-truth-judge,70.03,2.0,accepted,False
2026-07-13T04:58:30.963208+00:00,4,1,merge,mlp,25,Llama-3.1-8B-Instruct-multi-truth-judge,70.08,2.0,accepted,False
2026-07-13T04:59:10.482434+00:00,5,1,merge,mlp,27,Llama-3.1-8B-Instruct-multi-truth-judge,70.59,2.0,accepted,False
2026-07-13T04:59:49.272260+00:00,6,1,merge,mlp,29,Llama-3.1-8B-Instruct-multi-truth-judge,70.97,2.0,accepted,False
2026-07-13T05:00:29.491354+00:00,7,1,merge,mlp,15,Llama-3.1-8B-Instruct-multi-truth-judge,70.72,2.0,accepted,False
2026-07-13T05:01:09.994108+00:00,8,1,merge,mlp,12,Llama-3.1-8B-Instruct-multi-truth-judge,71.01,2.0,accepted,False
2026-07-13T05:01:50.568949+00:00,9,1,merge,mlp,31,Llama-3.1-8B-Instruct-multi-truth-judge,70.69,2.0,accepted,False
2026-07-13T05:02:29.731142+00:00,10,1,merge,mlp,10,Llama-3.1-8B-Instruct-multi-truth-judge,71.66,2.0,accepted,False
2026-07-13T05:03:08.310373+00:00,11,1,merge,mlp,8,Llama-3.1-8B-Instruct-multi-truth-judge,72.28,2.0,accepted,False
2026-07-13T05:03:46.574907+00:00,12,1,merge,mlp,6,Llama-3.1-8B-Instruct-multi-truth-judge,72.76,2.0,accepted,False
2026-07-13T05:04:24.944799+00:00,13,1,merge,mlp,4,Llama-3.1-8B-Instruct-multi-truth-judge,72.49,2.0,accepted,False
2026-07-13T05:05:04.061171+00:00,14,1,merge,mlp,18,Llama-3.1-8B-Instruct-multi-truth-judge,73.29,2.0,accepted,False
2026-07-13T05:05:50.126265+00:00,15,1,merge,mlp,20,Llama-3.1-8B-Instruct-multi-truth-judge,73.56,2.0,accepted,False
2026-07-13T05:06:30.302157+00:00,16,1,merge,mlp,22,Llama-3.1-8B-Instruct-multi-truth-judge,73.88,2.0,accepted,False
2026-07-13T05:07:09.408389+00:00,17,1,merge,mlp,24,Llama-3.1-8B-Instruct-multi-truth-judge,74.19,2.0,accepted,False
2026-07-13T05:07:48.351433+00:00,18,1,merge,mlp,26,Llama-3.1-8B-Instruct-multi-truth-judge,74.76,2.0,accepted,False
2026-07-13T05:08:27.470924+00:00,19,1,merge,mlp,28,Llama-3.1-8B-Instruct-multi-truth-judge,75.03,2.0,accepted,False
2026-07-13T05:09:06.538861+00:00,20,1,merge,mlp,16,Llama-3.1-8B-Instruct-multi-truth-judge,75.12,2.0,accepted,False
2026-07-13T05:09:45.854327+00:00,21,1,merge,mlp,14,Llama-3.1-8B-Instruct-multi-truth-judge,75.74,2.0,accepted,False
2026-07-13T05:10:25.291807+00:00,22,1,merge,mlp,11,Llama-3.1-8B-Instruct-multi-truth-judge,75.95,2.0,accepted,False
2026-07-13T05:11:04.337055+00:00,23,1,merge,mlp,13,Llama-3.1-8B-Instruct-multi-truth-judge,76.2,2.0,accepted,False
2026-07-13T05:11:43.930750+00:00,24,1,merge,mlp,9,Llama-3.1-8B-Instruct-multi-truth-judge,76.25,2.0,accepted,False
2026-07-13T05:12:22.155533+00:00,25,1,merge,mlp,7,Llama-3.1-8B-Instruct-multi-truth-judge,75.89,2.0,accepted,False
2026-07-13T05:13:00.662360+00:00,26,1,merge,mlp,30,Llama-3.1-8B-Instruct-multi-truth-judge,76.03,2.0,accepted,False
2026-07-13T05:13:39.952717+00:00,27,1,merge,attn,15,Llama-3.1-8B-Instruct-multi-truth-judge,75.64,2.0,accepted,False
2026-07-13T05:14:19.439811+00:00,28,1,merge,attn,18,Llama-3.1-8B-Instruct-multi-truth-judge,75.72,2.0,accepted,False
2026-07-13T05:14:58.628611+00:00,29,1,merge,attn,20,Llama-3.1-8B-Instruct-multi-truth-judge,75.68,2.0,accepted,False
2026-07-13T05:15:37.317208+00:00,30,1,merge,attn,23,Llama-3.1-8B-Instruct-multi-truth-judge,75.85,2.0,accepted,False
2026-07-13T05:16:16.057833+00:00,31,1,merge,attn,25,Llama-3.1-8B-Instruct-multi-truth-judge,75.82,2.0,accepted,False
2026-07-13T05:16:54.826860+00:00,32,1,merge,attn,28,Llama-3.1-8B-Instruct-multi-truth-judge,75.9,2.0,accepted,False
2026-07-13T05:17:33.520090+00:00,33,1,merge,attn,30,Llama-3.1-8B-Instruct-multi-truth-judge,75.9,2.0,accepted,False
2026-07-13T05:18:12.763722+00:00,34,1,merge,attn,13,Llama-3.1-8B-Instruct-multi-truth-judge,75.0,2.0,accepted,False
2026-07-13T05:18:51.182957+00:00,35,1,merge,attn,6,Llama-3.1-8B-Instruct-multi-truth-judge,74.8,2.0,accepted,False
2026-07-13T05:19:30.080280+00:00,36,1,merge,attn,11,Llama-3.1-8B-Instruct-multi-truth-judge,74.25,2.0,accepted,False
2026-07-13T05:20:09.411432+00:00,37,1,merge,attn,9,Llama-3.1-8B-Instruct-multi-truth-judge,73.97,2.0,accepted,False
2026-07-13T05:20:48.710831+00:00,38,1,merge,attn,19,Llama-3.1-8B-Instruct-multi-truth-judge,74.02,2.0,accepted,False
2026-07-13T05:21:27.544276+00:00,39,1,merge,attn,21,Llama-3.1-8B-Instruct-multi-truth-judge,73.82,2.0,accepted,False
2026-07-13T05:22:05.886913+00:00,40,1,merge,attn,24,Llama-3.1-8B-Instruct-multi-truth-judge,73.81,2.0,accepted,False
2026-07-13T05:22:44.523880+00:00,41,1,merge,attn,26,Llama-3.1-8B-Instruct-multi-truth-judge,73.81,2.0,accepted,False
2026-07-13T05:23:22.492240+00:00,42,1,merge,attn,27,Llama-3.1-8B-Instruct-multi-truth-judge,73.94,2.0,accepted,False
2026-07-13T05:24:00.877730+00:00,43,1,merge,attn,14,Llama-3.1-8B-Instruct-multi-truth-judge,73.37,2.0,accepted,False
2026-07-13T05:24:38.954234+00:00,44,1,merge,attn,22,Llama-3.1-8B-Instruct-multi-truth-judge,73.42,2.0,accepted,False
2026-07-13T05:25:16.663281+00:00,45,1,merge,attn,29,Llama-3.1-8B-Instruct-multi-truth-judge,73.66,2.0,accepted,False
2026-07-13T05:25:54.718277+00:00,46,1,merge,attn,31,Llama-3.1-8B-Instruct-multi-truth-judge,73.8,2.0,accepted,False
2026-07-13T05:26:33.435018+00:00,47,1,merge,attn,16,Llama-3.1-8B-Instruct-multi-truth-judge,73.64,2.0,accepted,False
2026-07-13T05:27:12.057127+00:00,48,1,merge,attn,17,Llama-3.1-8B-Instruct-multi-truth-judge,73.6,2.0,accepted,False
2026-07-13T05:27:50.649839+00:00,49,1,merge,attn,12,Llama-3.1-8B-Instruct-multi-truth-judge,73.16,2.0,accepted,False
2026-07-13T05:28:29.221916+00:00,50,1,merge,attn,10,Llama-3.1-8B-Instruct-multi-truth-judge,72.81,2.0,accepted,False
2026-07-13T05:29:07.372626+00:00,51,1,merge,attn,5,Llama-3.1-8B-Instruct-multi-truth-judge,72.78,2.0,accepted,False
2026-07-13T05:29:45.427390+00:00,52,1,merge,attn,8,Llama-3.1-8B-Instruct-multi-truth-judge,72.97,2.0,accepted,False
